category,fdr_rate,name,proteins
Biological Process (Gene Ontology),1.5936240005347804e-16,"Fatty acid beta-oxidation","10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099634,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000072483,10090.ENSMUSP00000034547,10090.ENSMUSP00000010795,10090.ENSMUSP00000043424,10090.ENSMUSP00000029770,10090.ENSMUSP00000007005,10090.ENSMUSP00000068940,10090.ENSMUSP00000031524"
KEGG,1.998594942897678e-16,"Valine, leucine and isoleucine degradation","10090.ENSMUSP00000015829,10090.ENSMUSP00000045912,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000063548,10090.ENSMUSP00000010795,10090.ENSMUSP00000072483,10090.ENSMUSP00000034547,10090.ENSMUSP00000112908,10090.ENSMUSP00000007005,10090.ENSMUSP00000104462,10090.ENSMUSP00000031524,10090.ENSMUSP00000031445"
Cellular Component (Gene Ontology),2.004055637884044e-16,"Mitochondrion","10090.ENSMUSP00000110729,10090.ENSMUSP00000129169,10090.ENSMUSP00000015829,10090.ENSMUSP00000023116,10090.ENSMUSP00000043041,10090.ENSMUSP00000078436,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000033695,10090.ENSMUSP00000010795,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000078593,10090.ENSMUSP00000031707,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000020948,10090.ENSMUSP00000079379,10090.ENSMUSP00000063548,10090.ENSMUSP00000072483,10090.ENSMUSP00000103012,10090.ENSMUSP00000099642,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000009058,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000100038,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000007005,10090.ENSMUSP00000053558,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),2.0336743410290117e-16,"ATP binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792"
Molecular Function (Gene Ontology),2.0336743410290117e-16,"Anion binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000015829,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000078436,10090.ENSMUSP00000001963,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000063548,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000099642,10090.ENSMUSP00000043424,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),2.8528296477163717e-16,"Lipid catabolic process","10090.ENSMUSP00000129169,10090.ENSMUSP00000040048,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000068940,10090.ENSMUSP00000007251,10090.ENSMUSP00000062037,10090.ENSMUSP00000072483,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000038361,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000044134,10090.ENSMUSP00000099634,10090.ENSMUSP00000029770,10090.ENSMUSP00000007005,10090.ENSMUSP00000053558,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),3.339242268917501e-16,"Monocarboxylic acid catabolic process","10090.ENSMUSP00000007251,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000063548,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000099634,10090.ENSMUSP00000043424,10090.ENSMUSP00000072483,10090.ENSMUSP00000010795,10090.ENSMUSP00000068940,10090.ENSMUSP00000007005,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),5.08521887587984e-16,"Fatty acid catabolic process","10090.ENSMUSP00000007251,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099634,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000072483,10090.ENSMUSP00000043424,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005,10090.ENSMUSP00000068940,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),1.0802472341902825e-15,"Carbohydrate derivative binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),1.0802472341902825e-15,"Lipid metabolic process","10090.ENSMUSP00000129169,10090.ENSMUSP00000015829,10090.ENSMUSP00000040048,10090.ENSMUSP00000080256,10090.ENSMUSP00000031445,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000002549,10090.ENSMUSP00000068940,10090.ENSMUSP00000092702,10090.ENSMUSP00000007251,10090.ENSMUSP00000062037,10090.ENSMUSP00000011492,10090.ENSMUSP00000112538,10090.ENSMUSP00000099642,10090.ENSMUSP00000072483,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000038361,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000044134,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000029770,10090.ENSMUSP00000112908,10090.ENSMUSP00000007005,10090.ENSMUSP00000053558,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),1.6951909402851747e-15,"Organic acid catabolic process","10090.ENSMUSP00000007251,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000078436,10090.ENSMUSP00000063548,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000099634,10090.ENSMUSP00000043424,10090.ENSMUSP00000072483,10090.ENSMUSP00000112908,10090.ENSMUSP00000068940,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005,10090.ENSMUSP00000031524,10090.ENSMUSP00000031707"
Biological Process (Gene Ontology),1.6951909402851747e-15,"Carboxylic acid catabolic process","10090.ENSMUSP00000007251,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000078436,10090.ENSMUSP00000063548,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000099634,10090.ENSMUSP00000043424,10090.ENSMUSP00000072483,10090.ENSMUSP00000112908,10090.ENSMUSP00000068940,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005,10090.ENSMUSP00000031524,10090.ENSMUSP00000031707"
Molecular Function (Gene Ontology),2.140021875571167e-15,"Nucleoside-triphosphatase activity","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000097860,10090.ENSMUSP00000009058,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465"
Molecular Function (Gene Ontology),4.146748507997409e-15,"acyl-CoA dehydrogenase activity","10090.ENSMUSP00000011492,10090.ENSMUSP00000027153,10090.ENSMUSP00000015829,10090.ENSMUSP00000072483,10090.ENSMUSP00000099634,10090.ENSMUSP00000043424,10090.ENSMUSP00000112908,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),1.1851109376167872e-14,"Pyrophosphatase activity","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000097860,10090.ENSMUSP00000009058,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465"
Molecular Function (Gene Ontology),1.2477726524936832e-14,"Hydrolase activity, acting on acid anhydrides","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000097860,10090.ENSMUSP00000009058,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465"
Molecular Function (Gene Ontology),1.2477726524936832e-14,"Hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000097860,10090.ENSMUSP00000009058,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465"
Biological Process (Gene Ontology),1.4342352267229053e-14,"Fatty acid oxidation","10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099634,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000072483,10090.ENSMUSP00000043424,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005,10090.ENSMUSP00000068940,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),3.333542989810579e-14,"Lipid oxidation","10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099634,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000072483,10090.ENSMUSP00000043424,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005,10090.ENSMUSP00000068940,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),9.584807155102054e-14,"Purine ribonucleoside triphosphate binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792"
Molecular Function (Gene Ontology),2.0951172037320588e-13,"Lipid transporter activity","10090.ENSMUSP00000041204,10090.ENSMUSP00000002084,10090.ENSMUSP00000069495,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000097860,10090.ENSMUSP00000097743,10090.ENSMUSP00000029770,10090.ENSMUSP00000009058,10090.ENSMUSP00000040465,10090.ENSMUSP00000013995,10090.ENSMUSP00000035458"
KEGG,2.2574556585610198e-13,"Fatty acid degradation","10090.ENSMUSP00000027153,10090.ENSMUSP00000015829,10090.ENSMUSP00000045912,10090.ENSMUSP00000037348,10090.ENSMUSP00000042351,10090.ENSMUSP00000072483,10090.ENSMUSP00000010795,10090.ENSMUSP00000034547,10090.ENSMUSP00000099634,10090.ENSMUSP00000007005,10090.ENSMUSP00000031524"
Reactome Pathways,1.7583607133425802e-12,"ABC transporters in lipid homeostasis","10090.ENSMUSP00000002084,10090.ENSMUSP00000069495,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000029770,10090.ENSMUSP00000124647,10090.ENSMUSP00000068940,10090.ENSMUSP00000035458"
Biological Process (Gene Ontology),2.7033504774888714e-12,"Small molecule catabolic process","10090.ENSMUSP00000007251,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000078436,10090.ENSMUSP00000063548,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000099634,10090.ENSMUSP00000043424,10090.ENSMUSP00000072483,10090.ENSMUSP00000112908,10090.ENSMUSP00000068940,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005,10090.ENSMUSP00000031524,10090.ENSMUSP00000031707"
Biological Process (Gene Ontology),2.380589391332795e-11,"Lipid transport","10090.ENSMUSP00000041204,10090.ENSMUSP00000002084,10090.ENSMUSP00000069495,10090.ENSMUSP00000112538,10090.ENSMUSP00000001963,10090.ENSMUSP00000020948,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000097860,10090.ENSMUSP00000097743,10090.ENSMUSP00000029770,10090.ENSMUSP00000009058,10090.ENSMUSP00000040465,10090.ENSMUSP00000013995,10090.ENSMUSP00000026208,10090.ENSMUSP00000035458"
Biological Process (Gene Ontology),1.0328835428233585e-10,"acyl-CoA metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000078436,10090.ENSMUSP00000099490,10090.ENSMUSP00000015829,10090.ENSMUSP00000099642,10090.ENSMUSP00000037348,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000092702,10090.ENSMUSP00000080256,10090.ENSMUSP00000031707"
Biological Process (Gene Ontology),1.0328835428233585e-10,"Thioester metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000078436,10090.ENSMUSP00000099490,10090.ENSMUSP00000015829,10090.ENSMUSP00000099642,10090.ENSMUSP00000037348,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000092702,10090.ENSMUSP00000080256,10090.ENSMUSP00000031707"
Biological Process (Gene Ontology),1.5058358807878793e-10,"Lipid localization","10090.ENSMUSP00000041204,10090.ENSMUSP00000002084,10090.ENSMUSP00000069495,10090.ENSMUSP00000112538,10090.ENSMUSP00000001963,10090.ENSMUSP00000020948,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000097860,10090.ENSMUSP00000097743,10090.ENSMUSP00000029770,10090.ENSMUSP00000009058,10090.ENSMUSP00000040465,10090.ENSMUSP00000013995,10090.ENSMUSP00000026208,10090.ENSMUSP00000035458"
Reactome Pathways,5.288141040920582e-10,"Fatty acid metabolism","10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000097743,10090.ENSMUSP00000103012,10090.ENSMUSP00000037348,10090.ENSMUSP00000072483,10090.ENSMUSP00000010795,10090.ENSMUSP00000043424,10090.ENSMUSP00000099642,10090.ENSMUSP00000110172,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),5.626335433022122e-10,"Nucleoside bisphosphate metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000078436,10090.ENSMUSP00000099490,10090.ENSMUSP00000015829,10090.ENSMUSP00000099642,10090.ENSMUSP00000037348,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000092702,10090.ENSMUSP00000080256,10090.ENSMUSP00000031707"
Biological Process (Gene Ontology),5.626335433022122e-10,"Ribonucleoside bisphosphate metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000078436,10090.ENSMUSP00000099490,10090.ENSMUSP00000015829,10090.ENSMUSP00000099642,10090.ENSMUSP00000037348,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000092702,10090.ENSMUSP00000080256,10090.ENSMUSP00000031707"
Biological Process (Gene Ontology),5.626335433022122e-10,"Purine nucleoside bisphosphate metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000078436,10090.ENSMUSP00000099490,10090.ENSMUSP00000015829,10090.ENSMUSP00000099642,10090.ENSMUSP00000037348,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000092702,10090.ENSMUSP00000080256,10090.ENSMUSP00000031707"
Molecular Function (Gene Ontology),7.605959774973717e-10,"acetyl-CoA C-acetyltransferase activity","10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000034547,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005"
Molecular Function (Gene Ontology),7.605959774973717e-10,"ATPase-coupled xenobiotic transmembrane transporter activity","10090.ENSMUSP00000041204,10090.ENSMUSP00000097743,10090.ENSMUSP00000031822,10090.ENSMUSP00000009058,10090.ENSMUSP00000026208"
Reactome Pathways,1.3255671169035493e-9,"Metabolism of lipids","10090.ENSMUSP00000097743,10090.ENSMUSP00000040048,10090.ENSMUSP00000031445,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000002549,10090.ENSMUSP00000110172,10090.ENSMUSP00000062037,10090.ENSMUSP00000099642,10090.ENSMUSP00000072483,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000044134,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000007005,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),1.6097474474127213e-9,"Cellular amide metabolic process","10090.ENSMUSP00000036881,10090.ENSMUSP00000015829,10090.ENSMUSP00000040048,10090.ENSMUSP00000080256,10090.ENSMUSP00000078436,10090.ENSMUSP00000001963,10090.ENSMUSP00000037348,10090.ENSMUSP00000034441,10090.ENSMUSP00000026208,10090.ENSMUSP00000092702,10090.ENSMUSP00000031707,10090.ENSMUSP00000062037,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000024733,10090.ENSMUSP00000002084,10090.ENSMUSP00000044134,10090.ENSMUSP00000099490,10090.ENSMUSP00000113792"
Molecular Function (Gene Ontology),1.7975007480431366e-9,"Oxidoreductase activity, acting on the ch-ch group of donors","10090.ENSMUSP00000011492,10090.ENSMUSP00000027153,10090.ENSMUSP00000015829,10090.ENSMUSP00000042351,10090.ENSMUSP00000072483,10090.ENSMUSP00000099634,10090.ENSMUSP00000043424,10090.ENSMUSP00000112908,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),2.6258093689314273e-9,"Ion binding","10090.ENSMUSP00000053971,10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000015829,10090.ENSMUSP00000097743,10090.ENSMUSP00000078336,10090.ENSMUSP00000040048,10090.ENSMUSP00000023116,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000078436,10090.ENSMUSP00000001963,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000062037,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000041243,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000063548,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000034547,10090.ENSMUSP00000099642,10090.ENSMUSP00000043424,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000100038,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),4.18308974127115e-9,"C-acetyltransferase activity","10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000034547,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005"
Biological Process (Gene Ontology),5.734701319343365e-9,"Lipid modification","10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099634,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000029770,10090.ENSMUSP00000034547,10090.ENSMUSP00000072483,10090.ENSMUSP00000043424,10090.ENSMUSP00000010795,10090.ENSMUSP00000007005,10090.ENSMUSP00000068940,10090.ENSMUSP00000031524"
Reactome Pathways,6.89671894607808e-9,"Transport of small molecules","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000124647,10090.ENSMUSP00000013995,10090.ENSMUSP00000027396,10090.ENSMUSP00000033695,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000020948,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000100038,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822"
